"Freq [GHz]","dB(S(1,1)) [] - gx1='2mm'","dB(S(1,1)) [] - gx1='2.8mm'","dB(S(1,1))_1 []"
4.8,-4.20548120914469,-3.75393614588052,-3.88543903837166
4.82,-4.58530358605291,-4.06608769153052,-4.21653409021003
4.84,-5.007301080266,-4.41021068183231,-4.58234718443583
4.86,-5.47707535325821,-4.79020555808807,-4.98721184215871
4.88,-6.00121319744209,-5.21058328234161,-5.43615975244396
4.9,-6.58755595512078,-5.67660850911173,-5.93509111648509
4.92,-7.24557690139599,-6.19449311233746,-6.49100710694088
4.94,-7.98691858237928,-6.77166254936517,-7.11233275567611
4.96,-8.82616840995265,-7.41712906467436,-7.80937307576584
4.98,-9.78198725770357,-8.14202379629106,-8.59496748163487
5,-10.8787431828879,-8.96036814064617,-9.48544070954027
5.02,-12.1487786574033,-9.89020781639621,-10.5019924292866
5.04,-13.6350510057608,-10.955291697951,-11.6727014882229
5.06,-15.3917067738633,-12.1875231382785,-13.0352200332245
5.08,-17.4693765673796,-13.6302619449998,-14.6393894904474
5.1,-19.8218435085477,-15.34125868964,-16.5444789044481
5.12,-21.9186841056679,-17.3866350770526,-18.7831086895803
5.14,-22.3134803649507,-19.7784735383828,-21.164871072757
5.16,-20.6500035079384,-22.1457585196306,-22.6760598688686
5.18,-18.3979664485132,-23.020129517476,-21.9148799555006
5.2,-16.3460341429478,-21.4662392151054,-19.7298042973275
5.22,-14.6150200186406,-19.0509980647295,-17.4786512241224
5.24,-13.1638040172083,-16.8244546351096,-15.5385674135855
5.26,-11.9351335401864,-14.952723851822,-13.9119605350082
5.28,-10.8817300614434,-13.3880271877306,-12.5396892978135
5.3,-9.96772195044508,-12.0638766174616,-11.3668659891392
5.32,-9.1661416417062,-10.9267799112994,-10.3512087272633
5.34,-8.45648212661999,-9.93706100077106,-9.4611508630304
5.36,-7.82288050228997,-9.06545795994919,-8.67299979754516
5.38,-7.2528479410852,-8.29009508187702,-7.96869850512342
5.4,-6.73639091077669,-7.59432572226168,-7.33424929746677
5.42,-6.2653993001131,-6.96526716609564,-6.75862891098122
5.44,-5.83321591960978,-6.39281051856106,-6.2330369376545
5.46,-5.43433360719339,-5.8689440564191,-5.75037294826141
5.48,-5.06418759302192,-5.38727850334457,-5.30489166913165
5.5,-4.71901265433584,-4.9427080826563,-4.8919826165444
5.52,-4.39573816355419,-4.53117341625188,-4.50798708390955
5.54,-4.09191813646147,-4.14949196014353,-4.15003862538464
5.56,-3.80569617815252,-3.79522664621922,-3.81595733653671
5.58,-3.53579464299357,-3.46657885998031,-3.50418288753326
5.6,-3.2815173700113,-3.16229717819954,-3.21372081962429
5.62,-3.04275674410581,-2.88159402890312,-2.94408975784811
5.64,-2.81999403421085,-2.62406400200467,-2.69526283121028
5.66,-2.61427911718857,-2.38959972324821,-2.46759770050636
5.68,-2.42717375253268,-2.17830357961821,-2.26175084812247
5.7,-2.26064328239119,-1.9903960606928,-2.07857427730549
5.72,-2.11688687104641,-1.8261239062448,-1.91899645089053
5.74,-1.9981074540129,-1.6856733132341,-1.7838937031753
5.76,-1.90623883210295,-1.5690947507778,-1.67396262267789
5.78,-1.84266517128526,-1.47624610145401,-1.58960687161999
5.8,-1.80798101786913,-1.40675973595167,-1.53085245539783
5.82,-1.80184074325819,-1.36003689706886,-1.49730296080121
5.84,-1.82293152432509,-1.33526990903578,-1.48814102201032
5.86,-1.86907670200308,-1.33148995194598,-1.50217548801381
5.88,-1.93744609348366,-1.34763619855774,-1.53792729226629
5.9,-2.02482771011384,-1.38264161048996,-1.59374264958586
5.92,-2.12790837519859,-1.43553202686091,-1.66792106933039
5.94,-2.24351884173348,-1.50553862396107,-1.75884806649934
5.96,-2.36881641104517,-1.5922298337988,-1.86512810354525
5.98,-2.50139745678963,-1.69567858013055,-1.98572209513286
6,-2.63934869350372,-1.81669716952918,-2.12010687292327
6.02,-2.78125886880809,-1.95720203320594,-2.26849535533635
6.04,-2.92622660459047,-2.12082839813148,-2.43219601346084
6.06,-3.073928864047,-2.31403296323839,-2.61427247031727
6.08,-3.22489210263156,-2.54817058905687,-2.82084322066067
6.1,-3.38132309182662,-2.843551350209,-3.06375380749804
6.12,-3.54941018320312,-3.23748734210797,-3.36613684395222
6.14,-3.74500145678289,-3.79951849764226,-3.77324774168754
6.16,-4.00280120095175,-4.65269230500464,-4.36658883396687
6.18,-4.3646499005805,-5.95200163543447,-5.23794389629591
6.2,-4.78904862357518,-7.56670295853927,-6.26529242617364
6.22,-5.14237673331041,-8.44382920678422,-6.90110782111948
6.24,-5.40095931679158,-8.0402496418479,-6.9776910460322
6.26,-5.62693962690548,-7.38954293889177,-6.9180154115891
6.28,-5.86154125091145,-7.03083939050425,-6.96486371866826
6.3,-6.12020428952694,-6.97210940514823,-7.15324534776994
6.32,-6.40811995373384,-7.14088690113945,-7.46873587608795
6.34,-6.72754274926523,-7.4884960445538,-7.89879313732098
6.36,-7.08009983758289,-7.99387680612639,-8.44072351291386
6.38,-7.46730019568231,-8.65651239657657,-9.10141025277311
6.4,-7.89039896133167,-9.49247720988095,-9.89697446290772
6.42,-8.34991942161858,-10.5344189677023,-10.8538718370581
6.44,-8.84482918892503,-11.8350982410337,-12.0118435445459
6.46,-9.37123620927269,-13.473472632899,-13.4289608045028
6.48,-9.92041136949742,-15.5536436784095,-15.1871140808024
6.5,-10.4760003145921,-18.1222464508467,-17.3817093498792
6.52,-11.010648235453,-20.5733011354982,-19.9837501288558
6.54,-11.4832658811179,-20.5307306236799,-22.0701075903143
6.56,-11.8399472405057,-17.8611825633764,-21.3522068025563
6.58,-12.0228137233064,-14.994880571641,-18.6046527437444
6.6,-11.988022351199,-12.6208557918612,-15.8784937972815
6.62,-11.7248669215166,-10.7064524817248,-13.6174409484368
6.64,-11.2615341482421,-9.14728454179055,-11.7698756368967
6.66,-10.6523704513852,-7.86078035937162,-10.2420443980664
6.68,-9.95749439100184,-6.78795861389349,-8.96107504945142
6.7,-9.22805086961572,-5.88628986139094,-7.87492651776544
6.72,-8.50096599420823,-5.12414170944999,-6.9461757955753
6.74,-7.79994881640054,-4.47720531469494,-6.14723190257552
6.76,-7.13872005500207,-3.92617402775894,-5.45731983297972
6.78,-6.52424007920582,-3.45533576787325,-4.86039763593005
6.8,-5.95918076980399,-3.05202246518233,-4.34209533810699
6.82,-5.4433335574567,-2.70588553415617,-3.88866495654157
6.84,-4.97393466069326,-2.40824348046032,-3.49123140276588
6.86,-4.54797062490318,-2.151802487179,-3.14339387869339
6.88,-4.16351639631861,-1.93044655699353,-2.83895947514009
6.9,-3.81777732049944,-1.73904611698108,-2.57229005130217
6.92,-3.50751971360707,-1.5732955121803,-2.33849014907882
6.94,-3.22961527058617,-1.42957826147842,-2.13336056380547
6.96,-2.98115466348304,-1.30485556744263,-1.95330687157458
6.98,-2.75946812269295,-1.1965739731847,-1.79525341704316
7,-2.56213100285003,-1.1025888947764,-1.6565702043786
7.02,-2.38696376742465,-1.02110143095119,-1.53501178517952
7.04,-2.23202813821934,-0.95060635634745,-1.42866626914113
7.06,-2.09562079566175,-0.889849598352772,-1.33591287812812
7.08,-1.97626601061506,-0.837793823051257,-1.25538685391374
7.1,-1.87270846496123,-0.793591038156701,-1.18595084290058
7.12,-1.78390736940271,-0.756561375715561,-1.12667212620339
7.14,-1.70903287875454,-0.726177456230301,-1.07680527026958
7.16,-1.64746576381398,-0.702053968496822,-1.03577996568299
7.18,-1.59880133683548,-0.683942336071272,-1.0031940180918
7.2,-1.56285875382187,-0.671730592443399,-0.978811669432117
